date,commod_sub,place,priceF_m_baht_100p,priceF_m_baht_kg,priceF_m_baht_ton,commod_gr,commod
1989-09-30,ยางพารา,ประเทศ,,17.08,17080.0,พืชยืนต้น,ยางพารา
1989-09-30,กระเทียม,ประเทศ,,5.9,5900.0,พืชผัก,กระเทียม
1989-09-30,หอมแดง,ประเทศ,,13.03,13030.0,พืชผัก,หอมแดง
1989-09-30,สุกร,ประเทศ,,29.25,29250.0,ปศุสัตว์,สุกร
1989-09-30,ไก่เนื้อ,ประเทศ,,22.6,22600.0,ปศุสัตว์,ไก่เนื้อ
1989-09-30,ไข่ไก่,ประเทศ,142.0,1.136,1136.0,ปศุสัตว์,ไข่ไก่
1989-09-30,ข้าวนาปรัง,ประเทศ,,4.166,4166.0,พืชไร่,ข้าว
1989-09-30,ทุเรียน,ประเทศ,,34.73,34730.0,ไม้ผล,ทุเรียน
1989-09-30,เงาะ,ประเทศ,,6.83,6830.0,ไม้ผล,เงาะ
1989-10-31,ข้าวหอมมะลิ,ประเทศ,,5.193,5193.0,พืชไร่,ข้าว
1989-10-31,ข้าวเจ้าอื่น,ประเทศ,,4.952,4952.0,พืชไร่,ข้าว
1989-10-31,ข้าวเหนียว,ประเทศ,,3.212,3212.0,พืชไร่,ข้าว
1989-10-31,ข้าวนาปี,ประเทศ,,4.497,4497.0,พืชไร่,ข้าว
1989-10-31,ข้าวโพดเลี้ยงสัตว์,ประเทศ,,2.81,2810.0,พืชไร่,ข้าวโพดเลี้ยงสัตว์
1989-10-31,มันสำปะหลัง,ประเทศ,,0.48,480.0,พืชไร่,มันสำปะหลัง
1989-10-31,สับปะรดโรงงาน,ประเทศ,,2.0,2000.0,พืชไร่,สับปะรดโรงงาน
1989-10-31,มะพร้าว,ประเทศ,214.0,1.712,1712.0,พืชยืนต้น,มะพร้าว
1989-10-31,ยางพารา,ประเทศ,,16.41,16410.0,พืชยืนต้น,ยางพารา
1989-10-31,กาแฟ,ประเทศ,,18.5,18500.0,พืชยืนต้น,กาแฟ
1989-10-31,กระเทียม,ประเทศ,,3.86,3860.0,พืชผัก,กระเทียม
1989-10-31,หอมแดง,ประเทศ,,14.03,14030.0,พืชผัก,หอมแดง
1989-10-31,สุกร,ประเทศ,,28.26,28260.0,ปศุสัตว์,สุกร
1989-10-31,ไก่เนื้อ,ประเทศ,,22.24,22240.0,ปศุสัตว์,ไก่เนื้อ
1989-10-31,ไข่ไก่,ประเทศ,139.0,1.112,1112.0,ปศุสัตว์,ไข่ไก่
1989-10-31,ข้าวนาปรัง,ประเทศ,,4.033,4033.0,พืชไร่,ข้าว
1989-11-30,ข้าวหอมมะลิ,ประเทศ,,4.39,4390.0,พืชไร่,ข้าว
1989-11-30,ข้าวเจ้าอื่น,ประเทศ,,3.839,3839.0,พืชไร่,ข้าว
1989-11-30,ข้าวเหนียว,ประเทศ,,2.831,2831.0,พืชไร่,ข้าว
1989-11-30,ข้าวนาปี,ประเทศ,,3.309,3309.0,พืชไร่,ข้าว
1989-11-30,ข้าวโพดเลี้ยงสัตว์,ประเทศ,,2.94,2940.0,พืชไร่,ข้าวโพดเลี้ยงสัตว์
1989-11-30,มันสำปะหลัง,ประเทศ,,0.54,540.0,พืชไร่,มันสำปะหลัง
1989-11-30,สับปะรดโรงงาน,ประเทศ,,1.44,1440.0,พืชไร่,สับปะรดโรงงาน
1989-11-30,มะพร้าว,ประเทศ,229.0,1.832,1832.0,พืชยืนต้น,มะพร้าว
1989-11-30,ยางพารา,ประเทศ,,15.71,15710.0,พืชยืนต้น,ยางพารา
1989-11-30,กาแฟ,ประเทศ,,18.86,18860.0,พืชยืนต้น,กาแฟ
1989-11-30,กระเทียม,ประเทศ,,4.22,4220.0,พืชผัก,กระเทียม
1989-11-30,หอมแดง,ประเทศ,,13.55,13550.0,พืชผัก,หอมแดง
1989-11-30,สุกร,ประเทศ,,27.07,27070.0,ปศุสัตว์,สุกร
1989-11-30,ไก่เนื้อ,ประเทศ,,21.49,21490.0,ปศุสัตว์,ไก่เนื้อ
1989-11-30,ไข่ไก่,ประเทศ,131.0,1.048,1048.0,ปศุสัตว์,ไข่ไก่
1989-12-31,ข้าวหอมมะลิ,ประเทศ,,4.054,4054.0,พืชไร่,ข้าว
1989-12-31,ข้าวเจ้าอื่น,ประเทศ,,3.743,3743.0,พืชไร่,ข้าว
1989-12-31,ข้าวเหนียว,ประเทศ,,3.076,3076.0,พืชไร่,ข้าว
1989-12-31,ข้าวนาปี,ประเทศ,,3.497,3497.0,พืชไร่,ข้าว
1989-12-31,ข้าวโพดเลี้ยงสัตว์,ประเทศ,,2.98,2980.0,พืชไร่,ข้าวโพดเลี้ยงสัตว์
